ID,Donor,Acceptor,DA,plan_Solutions_1_S1,plan_Solutions_1_ann. time,plan_Solutions_1_conc.,plan_Solutions_1_speed,Layer thickness [nm],features_D.1.c_UV,features_D.1a.w_UV,features_D.1a.c_UV,features_D.2.a_UV,features_A.0.a_UV,features_A.1.w_UV,features_A.1.c_UV,features_A.1a.w_UV,features_atot_UV,features_XD_UV,features_XA_UV,FF_IV,JSC_IV,PCE_IV,VOC_IV,Deg_JSC_IV,Deg_VOC_IV,Deg_FF_IV,Deg_PCE_IV,Retained_JSC_IV,Retained_VOC_IV,Retained_FF_IV,Retained_PCE_IV,HotOneEncoded_plan_Solutions_1_M1_PM6_321136,HotOneEncoded_plan_Solutions_1_M1_PTVT-T_321032,HotOneEncoded_plan_Solutions_1_M1_PTQ10_321145,HotOneEncoded_plan_Solutions_1_M1_PCE10_120058,HotOneEncoded_plan_Solutions_1_M1_D18CL_323001,HotOneEncoded_plan_Solutions_1_M2_BTP-4F-12 (Y12)_321125,HotOneEncoded_plan_Solutions_1_M2_ITIC_120057,HotOneEncoded_plan_Solutions_1_M2_ITIC-4F_120033,HotOneEncoded_plan_Solutions_1_M2_L8-BO_321144,HotOneEncoded_plan_Solutions_1_M2_PY-IT_321127
6,PM6,Y12,PM6-Y12,xylene,0,23,3000,118.4221595,2.002232938,0.081475922,2.166887233,0.57777173,0.0326288,0.070601074,1.530714692,0.093815176,0.33596953,0.468520142,0.531479858,62.91671533,26.49582722,13.94124628,0.836292255,24.1691,0.7733,62.26,11.6356,0.912185145,0.924676745,0.989562149,0.834616918,1,0,0,0,0,1,0,0,0,0
7,PM6,Y12,PM6-Y12,xylene,2,23,3000,122.0333665,1.996667318,0.079503897,2.162908933,0.635455934,0.026957791,0.068732698,1.512460409,0.094477875,0.345726327,0.461700384,0.538299616,65.45359496,27.31544094,14.51729362,0.811977398,23.5562,0.7698,64.81,11.7529,0.862376707,0.948055946,0.990167156,0.809579272,1,0,0,0,0,1,0,0,0,0
7,PM6,Y12,PM6-Y12,xylene,2,23,3000,122.0787633,1.996489437,0.079463345,2.162744925,0.635437543,0.027228562,0.068695665,1.512421461,0.094436716,0.345690192,0.461838284,0.538161716,65.61853726,27.12892196,14.47151232,0.812933157,22.8435,0.7685,64.6,11.3409,0.842034934,0.945342177,0.984477904,0.783670687,1,0,0,0,0,1,0,0,0,0
7,PM6,Y12,PM6-Y12,xylene,2,23,3000,123.1488306,1.996615856,0.079519432,2.162841051,0.634424257,0.026519987,0.068657289,1.512475965,0.094380745,0.348580722,0.462073528,0.537926472,64.61506258,27.5619867,14.44125402,0.810887525,24.1263,0.768,64.54,11.9591,0.875346914,0.94711039,0.998838311,0.828120604,1,0,0,0,0,1,0,0,0,0
7,PM6,Y12,PM6-Y12,xylene,2,23,3000,123.5719936,1.996365532,0.079505086,2.162618338,0.63494452,0.026749762,0.068595763,1.512404823,0.094357168,0.349637798,0.462132199,0.537867801,64.52362597,27.4401703,14.3706936,0.811656297,0.0061,0.7623,15.73,0.0007,0.000222302,0.939190644,0.243786671,4.87102E-05,1,0,0,0,0,1,0,0,0,0
8,PM6,Y12,PM6-Y12,xylene,1,23,2000,159.0785026,1.996856589,0.078985886,2.162909312,0.666949408,0.002461601,0.067120146,1.514693677,0.092709484,0.440550558,0.47232373,0.52767627,60.74434452,26.3726948,13.04221766,0.814124988,0.003,0.935,12.16,0.0003,0.000113754,1.148472303,0.200183245,2.30022E-05,1,0,0,0,0,1,0,0,0,0
8,PM6,Y12,PM6-Y12,xylene,1,23,2000,159.1422743,1.996894188,0.078903048,2.162958524,0.666758142,0.002110284,0.067167839,1.514727793,0.092708625,0.440445274,0.472795057,0.527204943,60.58565021,26.35799178,12.97418221,0.812452355,23.7931,0.7776,63.04,11.6648,0.902690167,0.957102278,1.040510414,0.899077862,1,0,0,0,0,1,0,0,0,0
8,PM6,Y12,PM6-Y12,xylene,1,23,2000,158.7180304,1.99693586,0.078938014,2.162984473,0.666441151,0.002136109,0.067112379,1.514996763,0.092676291,0.439339169,0.472788458,0.527211542,60.08036113,26.1427952,12.73600647,0.8108653,23.8245,0.7787,62.77,11.6452,0.911321831,0.960332129,1.044767355,0.914352551,1,0,0,0,0,1,0,0,0,0
8,PM6,Y12,PM6-Y12,xylene,1,23,2000,162.9988401,1.996935379,0.078918957,2.162931009,0.668931744,0.000405024,0.067164483,1.514634858,0.092764776,0.451399951,0.472314594,0.527685406,59.28235588,26.14449109,12.59516936,0.812640317,22.6598,0.7715,61.69,10.7845,0.866714136,0.949374507,1.040613165,0.856240968,1,0,0,0,0,1,0,0,0,0
26,PM6,L8-BO,PM6-L8-BO,xylene,0,24,2000,223.6566469,2.008211656,0.07543764,2.170143973,0.72361074,0.01331925,0.075908937,1.562170788,0.090999345,0.579291712,0.513511596,0.486488404,59.62208046,26.81804215,13.52718851,0.846005812,14.9817,0.8051,53.77,6.4856,0.55864257,0.951648309,0.901847094,0.479449221,1,0,0,0,0,0,0,0,1,0
