GPR Method,Donor,Acceptor,RMSE(train),RMSE(test),R2,dR2,R2_Proxy,R2CV_Proxy,RMSE_Proxy,Target Parameter,Used Proxies,Available Proxies,dR2s[1],dR2s[2],dR2s[3],dR2s[4],dR2s[5],dR2s[6],dR2s[7],dR2s_2[1],dR2s_2[2],dR2s_2[3],dR2s_2[4],dR2s_2[5],dR2s_2[6],dR2s_2[7],RMSE[1],RMSE[2],RMSE[3],RMSE[4],RMSE[5],RMSE[6],RMSE[7],MainPath,length_scales_start,length_scale_lims,ShuffleTimes,MainFolderName,HowManyBestPixelsPerSubstrate
PlanToIV,PTQ10,ITIC,0.16533,0.17158,0.871,0.822,0.879,0.847,0.16557,PCE_IV,"plan_Solutions_1_speed, plan_Solutions_1_ann. time, plan_Solutions_1_conc.","plan_Solutions_1_conc., plan_Solutions_1_speed, plan_Solutions_1_ann. time",0.836,0.037,0.006,-1,-1,-1,-1,0.0095,0.0147,0.0095,-1,-1,-1,-1,0.18924,0.16702,0.16557,-1,-1,-1,-1,PTQ10-ITIC,11,"(11, 1000)",20,2026-04-15_08-47-49_IndividualMaterials,4
PlanToIV,PTQ10,ITIC,0.696,0.71763,0.894,0.901,0.897,0.878,0.69746,FF_IV,"plan_Solutions_1_speed, plan_Solutions_1_ann. time, plan_Solutions_1_conc.","plan_Solutions_1_conc., plan_Solutions_1_speed, plan_Solutions_1_ann. time",0.767,0.094,0.035,-1,-1,-1,-1,0.0174,0.0205,0.0035,-1,-1,-1,-1,1.0784,0.80101,0.69746,-1,-1,-1,-1,PTQ10-ITIC,11,"(11, 1000)",20,2026-04-15_08-47-49_IndividualMaterials,4
PlanToIV,PTQ10,ITIC,0.34072,0.37434,0.61,0.522,0.607,0.52,0.34436,JSC_IV,"plan_Solutions_1_speed, plan_Solutions_1_ann. time, plan_Solutions_1_conc.","plan_Solutions_1_conc., plan_Solutions_1_speed, plan_Solutions_1_ann. time",0.594,-0.003,0.015,-1,-1,-1,-1,0.0679,0.0149,0.026,-1,-1,-1,-1,0.36448,0.32604,0.34436,-1,-1,-1,-1,PTQ10-ITIC,11,"(11, 1000)",20,2026-04-15_08-47-49_IndividualMaterials,4
PlanToIV,PTQ10,ITIC,0.0027,0.00289,0.973,0.961,0.971,0.957,0.00283,VOC_IV,"plan_Solutions_1_speed, plan_Solutions_1_conc., plan_Solutions_1_ann. time","plan_Solutions_1_conc., plan_Solutions_1_speed, plan_Solutions_1_ann. time",0.873,0.096,0.003,-1,-1,-1,-1,0.0046,0.0013,0.001,-1,-1,-1,-1,0.00591,0.00288,0.00283,-1,-1,-1,-1,PTQ10-ITIC,11,"(11, 1000)",20,2026-04-15_08-47-49_IndividualMaterials,4
PlanToSpectralParameters,PTQ10,ITIC,0.0013,0.00135,0.966,0.955,0.965,0.958,0.00126,features_D.1.c_UV,"plan_Solutions_1_speed, plan_Solutions_1_ann. time, plan_Solutions_1_conc.","plan_Solutions_1_conc., plan_Solutions_1_speed, plan_Solutions_1_ann. time",0.897,0.052,0.017,-1,-1,-1,-1,0.0065,0.0023,0.0011,-1,-1,-1,-1,0.00219,0.00165,0.00126,-1,-1,-1,-1,PTQ10-ITIC,11,"(11, 1000)",20,2026-04-15_08-47-49_IndividualMaterials,4
PlanToSpectralParameters,PTQ10,ITIC,0.00085,0.00087,0.977,0.967,0.977,0.954,0.00086,features_D.1a.w_UV,"plan_Solutions_1_speed, plan_Solutions_1_ann. time","plan_Solutions_1_conc., plan_Solutions_1_speed, plan_Solutions_1_ann. time",0.921,0.056,-1,-1,-1,-1,-1,0.0056,0.0015,-1,-1,-1,-1,-1,0.00159,0.00086,-1,-1,-1,-1,-1,PTQ10-ITIC,11,"(11, 1000)",20,2026-04-15_08-47-49_IndividualMaterials,4
PlanToSpectralParameters,PTQ10,ITIC,0.00069,0.00071,0.982,0.981,0.982,0.981,0.00065,features_D.1a.c_UV,"plan_Solutions_1_speed, plan_Solutions_1_ann. time, plan_Solutions_1_conc.","plan_Solutions_1_conc., plan_Solutions_1_speed, plan_Solutions_1_ann. time",0.956,0.025,0.001,-1,-1,-1,-1,0.0028,0.0015,0.0011,-1,-1,-1,-1,0.00106,0.00067,0.00065,-1,-1,-1,-1,PTQ10-ITIC,11,"(11, 1000)",20,2026-04-15_08-47-49_IndividualMaterials,4
PlanToSpectralParameters,PTQ10,ITIC,0.02833,0.02987,0.882,0.819,0.96,0.95,0.0178,features_D.2.a_UV,"plan_Solutions_1_conc., plan_Solutions_1_speed, plan_Solutions_1_ann. time","plan_Solutions_1_conc., plan_Solutions_1_speed, plan_Solutions_1_ann. time",0.461,0.266,0.233,-1,-1,-1,-1,0.0254,0.1484,0.0195,-1,-1,-1,-1,0.06319,0.04643,0.0178,-1,-1,-1,-1,PTQ10-ITIC,11,"(11, 1000)",20,2026-04-15_08-47-49_IndividualMaterials,4
PlanToSpectralParameters,PTQ10,ITIC,0.00212,0.00221,0.875,0.84,0.878,0.835,0.00223,features_A.0.a_UV,"plan_Solutions_1_speed, plan_Solutions_1_conc.","plan_Solutions_1_conc., plan_Solutions_1_speed, plan_Solutions_1_ann. time",0.754,0.123,-1,-1,-1,-1,-1,0.0146,0.0048,-1,-1,-1,-1,-1,0.00308,0.00223,-1,-1,-1,-1,-1,PTQ10-ITIC,11,"(11, 1000)",20,2026-04-15_08-47-49_IndividualMaterials,4
PlanToSpectralParameters,PTQ10,ITIC,0.00058,0.00058,0.987,0.984,0.987,0.986,0.00056,features_A.1.w_UV,"plan_Solutions_1_speed, plan_Solutions_1_conc.","plan_Solutions_1_conc., plan_Solutions_1_speed, plan_Solutions_1_ann. time",0.984,0.003,-1,-1,-1,-1,-1,0.0006,0.0006,-1,-1,-1,-1,-1,0.00064,0.00056,-1,-1,-1,-1,-1,PTQ10-ITIC,11,"(11, 1000)",20,2026-04-15_08-47-49_IndividualMaterials,4
PlanToSpectralParameters,PTQ10,ITIC,0.0019,0.00207,0.805,0.758,0.935,0.861,0.00096,features_A.1.c_UV,"plan_Solutions_1_speed, plan_Solutions_1_ann. time","plan_Solutions_1_conc., plan_Solutions_1_speed, plan_Solutions_1_ann. time",0.665,0.27,-1,-1,-1,-1,-1,0.0224,0.0655,-1,-1,-1,-1,-1,0.00243,0.00096,-1,-1,-1,-1,-1,PTQ10-ITIC,11,"(11, 1000)",20,2026-04-15_08-47-49_IndividualMaterials,4
PlanToSpectralParameters,PTQ10,ITIC,0.00061,0.00057,0.984,0.986,0.985,0.982,0.00057,features_A.1a.w_UV,"plan_Solutions_1_speed, plan_Solutions_1_conc., plan_Solutions_1_ann. time","plan_Solutions_1_conc., plan_Solutions_1_speed, plan_Solutions_1_ann. time",0.971,0.009,0.005,-1,-1,-1,-1,0.0017,0.0014,0.0006,-1,-1,-1,-1,0.00085,0.0007,0.00057,-1,-1,-1,-1,PTQ10-ITIC,11,"(11, 1000)",20,2026-04-15_08-47-49_IndividualMaterials,4
PlanToSpectralParameters,PTQ10,ITIC,0.00204,0.00208,0.977,0.934,0.977,0.97,0.00192,features_A.1a.c_UV,"plan_Solutions_1_speed, plan_Solutions_1_ann. time, plan_Solutions_1_conc.","plan_Solutions_1_conc., plan_Solutions_1_speed, plan_Solutions_1_ann. time",0.941,0.03,0.005,-1,-1,-1,-1,0.0044,0.0017,0.0008,-1,-1,-1,-1,0.00311,0.00231,0.00192,-1,-1,-1,-1,PTQ10-ITIC,11,"(11, 1000)",20,2026-04-15_08-47-49_IndividualMaterials,4
PlanToSpectralParameters,PTQ10,ITIC,0.00475,0.00523,0.983,0.901,0.981,0.984,0.00415,features_D_UV,"plan_Solutions_1_speed, plan_Solutions_1_conc., plan_Solutions_1_ann. time","plan_Solutions_1_conc., plan_Solutions_1_speed, plan_Solutions_1_ann. time",0.973,0.009,0,-1,-1,-1,-1,0.0015,0.0007,0,-1,-1,-1,-1,0.00586,0.00461,0.00415,-1,-1,-1,-1,PTQ10-ITIC,11,"(11, 1000)",20,2026-04-15_08-47-49_IndividualMaterials,4
PlanToSpectralParameters,PTQ10,ITIC,0.00702,0.00712,0.965,0.951,0.965,0.959,0.00738,features_A_UV,"plan_Solutions_1_speed, plan_Solutions_1_conc., plan_Solutions_1_ann. time","plan_Solutions_1_conc., plan_Solutions_1_speed, plan_Solutions_1_ann. time",0.881,0.072,0.012,-1,-1,-1,-1,0.0083,0.0029,0.002,-1,-1,-1,-1,0.01313,0.00793,0.00738,-1,-1,-1,-1,PTQ10-ITIC,11,"(11, 1000)",20,2026-04-15_08-47-49_IndividualMaterials,4
PlanToSpectralParameters,PTQ10,ITIC,0.00808,0.0094,0.985,0.978,0.983,0.984,0.00809,features_Dtot_UV,"plan_Solutions_1_speed, plan_Solutions_1_conc., plan_Solutions_1_ann. time","plan_Solutions_1_conc., plan_Solutions_1_speed, plan_Solutions_1_ann. time",0.973,0.009,0.001,-1,-1,-1,-1,0.0018,0.0008,0.0003,-1,-1,-1,-1,0.01092,0.00882,0.00809,-1,-1,-1,-1,PTQ10-ITIC,11,"(11, 1000)",20,2026-04-15_08-47-49_IndividualMaterials,4
PlanToSpectralParameters,PTQ10,ITIC,0.00914,0.00944,0.962,0.956,0.967,0.95,0.00898,features_Atot_UV,"plan_Solutions_1_speed, plan_Solutions_1_conc., plan_Solutions_1_ann. time","plan_Solutions_1_conc., plan_Solutions_1_speed, plan_Solutions_1_ann. time",0.877,0.077,0.013,-1,-1,-1,-1,0.0067,0.0032,0.0018,-1,-1,-1,-1,0.0157,0.01075,0.00898,-1,-1,-1,-1,PTQ10-ITIC,11,"(11, 1000)",20,2026-04-15_08-47-49_IndividualMaterials,4
PlanToSpectralParameters,PTQ10,ITIC,0.01575,0.01722,0.979,0.969,0.979,0.977,0.01616,features_atot_UV,"plan_Solutions_1_speed, plan_Solutions_1_conc.","plan_Solutions_1_conc., plan_Solutions_1_speed, plan_Solutions_1_ann. time",0.945,0.034,-1,-1,-1,-1,-1,0.0033,0.0006,-1,-1,-1,-1,-1,0.02473,0.01616,-1,-1,-1,-1,-1,PTQ10-ITIC,11,"(11, 1000)",20,2026-04-15_08-47-49_IndividualMaterials,4
PlanToSpectralParameters,PTQ10,ITIC,0.00464,0.00405,0.991,0.994,0.992,0.993,0.00429,features_XD_UV,"plan_Solutions_1_speed, plan_Solutions_1_ann. time","plan_Solutions_1_conc., plan_Solutions_1_speed, plan_Solutions_1_ann. time",0.972,0.019,-1,-1,-1,-1,-1,0.0017,0.0003,-1,-1,-1,-1,-1,0.00838,0.00429,-1,-1,-1,-1,-1,PTQ10-ITIC,11,"(11, 1000)",20,2026-04-15_08-47-49_IndividualMaterials,4
PlanToSpectralParameters,PTQ10,ITIC,0.00464,0.00416,0.991,0.994,0.991,0.992,0.00424,features_XA_UV,"plan_Solutions_1_speed, plan_Solutions_1_ann. time","plan_Solutions_1_conc., plan_Solutions_1_speed, plan_Solutions_1_ann. time",0.972,0.019,-1,-1,-1,-1,-1,0.0015,0.0006,-1,-1,-1,-1,-1,0.00843,0.00424,-1,-1,-1,-1,-1,PTQ10-ITIC,11,"(11, 1000)",20,2026-04-15_08-47-49_IndividualMaterials,4
BestFeatureToIV,PTQ10,ITIC,0.26481,0.28488,0.754,0.725,0.868,0.885,0.19658,JSC_IV,"features_A.1.c_UV, features_Atot_UV, features_D.1a.c_UV, features_D_UV",features_,0.678,0.08,0.085,0.025,-1,-1,-1,0.0195,0.0141,0.0739,0.0041,-1,-1,-1,0.3227,0.27293,0.21935,0.19658,-1,-1,-1,PTQ10-ITIC,11,"(11, 1000)",20,2026-04-15_08-47-49_IndividualMaterials,4
BestFeatureToIV,PTQ10,ITIC,0.86912,0.93639,0.834,0.835,0.832,0.83,0.79654,FF_IV,"features_A.1.w_UV, features_XA_UV",features_,0.76,0.071,-1,-1,-1,-1,-1,0.0133,0.0082,-1,-1,-1,-1,-1,1.04824,0.79654,-1,-1,-1,-1,-1,PTQ10-ITIC,11,"(11, 1000)",20,2026-04-15_08-47-49_IndividualMaterials,4
BestFeatureToIV,PTQ10,ITIC,0.00363,0.00382,0.947,0.925,0.966,0.97,0.00279,VOC_IV,"features_A_UV, features_A.1.c_UV, features_D.1a.w_UV",features_,0.885,-0.002,0.083,-1,-1,-1,-1,0.0056,0.0001,0.0017,-1,-1,-1,-1,0.0057,0.00533,0.00279,-1,-1,-1,-1,PTQ10-ITIC,11,"(11, 1000)",20,2026-04-15_08-47-49_IndividualMaterials,4
BestFeatureToIV,PTQ10,ITIC,0.18731,0.19501,0.83,0.792,0.847,0.833,0.18792,PCE_IV,"features_Atot_UV, features_A.1.c_UV",features_,0.768,0.079,-1,-1,-1,-1,-1,0.0064,0.0599,-1,-1,-1,-1,-1,0.20657,0.18792,-1,-1,-1,-1,-1,PTQ10-ITIC,11,"(11, 1000)",20,2026-04-15_08-47-49_IndividualMaterials,4
PlanToIV,PTQ10,L8-BO,0.2403,0.2618,0.977,0.965,0.978,0.972,0.23881,PCE_IV,"plan_Solutions_1_speed, plan_Solutions_1_ann. time, plan_Solutions_1_conc.","plan_Solutions_1_conc., plan_Solutions_1_speed, plan_Solutions_1_ann. time",0.961,0.012,0.005,-1,-1,-1,-1,0.0026,0.0046,0.0075,-1,-1,-1,-1,0.31736,0.26942,0.23881,-1,-1,-1,-1,PTQ10-L8-BO,11,"(11, 1000)",20,2026-04-15_08-47-49_IndividualMaterials,4
PlanToIV,PTQ10,L8-BO,0.794,0.82515,0.972,0.886,0.982,0.968,0.7504,FF_IV,"plan_Solutions_1_speed, plan_Solutions_1_ann. time, plan_Solutions_1_conc.","plan_Solutions_1_conc., plan_Solutions_1_speed, plan_Solutions_1_ann. time",0.905,0.073,0.004,-1,-1,-1,-1,0.0081,0.0019,0,-1,-1,-1,-1,1.54827,0.72269,0.7504,-1,-1,-1,-1,PTQ10-L8-BO,11,"(11, 1000)",20,2026-04-15_08-47-49_IndividualMaterials,4
PlanToIV,PTQ10,L8-BO,0.29561,0.29846,0.924,0.929,0.939,0.917,0.25816,JSC_IV,"plan_Solutions_1_speed, plan_Solutions_1_ann. time, plan_Solutions_1_conc.","plan_Solutions_1_conc., plan_Solutions_1_speed, plan_Solutions_1_ann. time",0.899,-0.002,0.041,-1,-1,-1,-1,0.0074,0.0064,0.0194,-1,-1,-1,-1,0.35639,0.33874,0.25816,-1,-1,-1,-1,PTQ10-L8-BO,11,"(11, 1000)",20,2026-04-15_08-47-49_IndividualMaterials,4
PlanToIV,PTQ10,L8-BO,0.00566,0.00543,0.933,0.799,0.943,0.923,0.00539,VOC_IV,plan_Solutions_1_speed,"plan_Solutions_1_conc., plan_Solutions_1_speed, plan_Solutions_1_ann. time",0.943,-1,-1,-1,-1,-1,-1,0.0019,-1,-1,-1,-1,-1,-1,0.00539,-1,-1,-1,-1,-1,-1,PTQ10-L8-BO,11,"(11, 1000)",20,2026-04-15_08-47-49_IndividualMaterials,4
PlanToSpectralParameters,PTQ10,L8-BO,0.00062,0.00061,0.972,0.942,0.974,0.967,0.00063,features_D.1.c_UV,"plan_Solutions_1_speed, plan_Solutions_1_conc., plan_Solutions_1_ann. time","plan_Solutions_1_conc., plan_Solutions_1_speed, plan_Solutions_1_ann. time",0.683,0.236,0.055,-1,-1,-1,-1,0.0337,0.0039,0.0017,-1,-1,-1,-1,0.00216,0.00107,0.00063,-1,-1,-1,-1,PTQ10-L8-BO,11,"(11, 1000)",20,2026-04-15_08-47-49_IndividualMaterials,4
PlanToSpectralParameters,PTQ10,L8-BO,0.00022,0.00023,0.788,0.589,0.776,0.711,0.00022,features_D.1a.w_UV,"plan_Solutions_1_ann. time, plan_Solutions_1_speed, plan_Solutions_1_conc.","plan_Solutions_1_conc., plan_Solutions_1_speed, plan_Solutions_1_ann. time",0.465,0.197,0.114,-1,-1,-1,-1,0.0277,0.0286,0.0152,-1,-1,-1,-1,0.00035,0.00026,0.00022,-1,-1,-1,-1,PTQ10-L8-BO,11,"(11, 1000)",20,2026-04-15_08-47-49_IndividualMaterials,4
PlanToSpectralParameters,PTQ10,L8-BO,0.00099,0.00096,0.928,0.922,0.931,0.919,0.00097,features_D.1a.c_UV,"plan_Solutions_1_speed, plan_Solutions_1_conc., plan_Solutions_1_ann. time","plan_Solutions_1_conc., plan_Solutions_1_speed, plan_Solutions_1_ann. time",0.76,0.177,-0.006,-1,-1,-1,-1,0.0058,0.0136,0.0046,-1,-1,-1,-1,0.0018,0.00098,0.00097,-1,-1,-1,-1,PTQ10-L8-BO,11,"(11, 1000)",20,2026-04-15_08-47-49_IndividualMaterials,4
PlanToSpectralParameters,PTQ10,L8-BO,0.00263,0.0026,0.998,0.998,0.997,0.997,0.00294,features_D.2.a_UV,"plan_Solutions_1_speed, plan_Solutions_1_conc.","plan_Solutions_1_conc., plan_Solutions_1_speed, plan_Solutions_1_ann. time",0.838,0.16,-1,-1,-1,-1,-1,0.0154,0.0002,-1,-1,-1,-1,-1,0.02232,0.00294,-1,-1,-1,-1,-1,PTQ10-L8-BO,11,"(11, 1000)",20,2026-04-15_08-47-49_IndividualMaterials,4
PlanToSpectralParameters,PTQ10,L8-BO,0.00617,0.00638,0.847,0.837,0.845,0.731,0.00631,features_A.0.a_UV,"plan_Solutions_1_ann. time, plan_Solutions_1_conc., plan_Solutions_1_speed","plan_Solutions_1_conc., plan_Solutions_1_speed, plan_Solutions_1_ann. time",0.66,0.185,0,-1,-1,-1,-1,0.0203,0.0073,0.0092,-1,-1,-1,-1,0.00876,0.00669,0.00631,-1,-1,-1,-1,PTQ10-L8-BO,11,"(11, 1000)",20,2026-04-15_08-47-49_IndividualMaterials,4
PlanToSpectralParameters,PTQ10,L8-BO,0.00168,0.00169,0.158,-0.286,0.198,-0.091,0.00166,features_A.1.w_UV,plan_Solutions_1_conc.,"plan_Solutions_1_conc., plan_Solutions_1_speed, plan_Solutions_1_ann. time",0.198,-1,-1,-1,-1,-1,-1,0.0479,-1,-1,-1,-1,-1,-1,0.00166,-1,-1,-1,-1,-1,-1,PTQ10-L8-BO,11,"(11, 1000)",20,2026-04-15_08-47-49_IndividualMaterials,4
PlanToSpectralParameters,PTQ10,L8-BO,0.00266,0.00261,0.874,0.806,0.882,0.851,0.00268,features_A.1.c_UV,"plan_Solutions_1_ann. time, plan_Solutions_1_speed","plan_Solutions_1_conc., plan_Solutions_1_speed, plan_Solutions_1_ann. time",0.562,0.32,-1,-1,-1,-1,-1,0.0254,0.0056,-1,-1,-1,-1,-1,0.00498,0.00268,-1,-1,-1,-1,-1,PTQ10-L8-BO,11,"(11, 1000)",20,2026-04-15_08-47-49_IndividualMaterials,4
PlanToSpectralParameters,PTQ10,L8-BO,0.00057,0.0005,0.954,0.942,0.958,0.93,0.00055,features_A.1a.w_UV,"plan_Solutions_1_speed, plan_Solutions_1_ann. time, plan_Solutions_1_conc.","plan_Solutions_1_conc., plan_Solutions_1_speed, plan_Solutions_1_ann. time",0.778,0.125,0.055,-1,-1,-1,-1,0.0112,0.0046,0,-1,-1,-1,-1,0.00127,0.00069,0.00055,-1,-1,-1,-1,PTQ10-L8-BO,11,"(11, 1000)",20,2026-04-15_08-47-49_IndividualMaterials,4
PlanToSpectralParameters,PTQ10,L8-BO,0.00117,0.00116,0.93,0.881,0.938,0.89,0.00117,features_A.1a.c_UV,"plan_Solutions_1_speed, plan_Solutions_1_ann. time, plan_Solutions_1_conc.","plan_Solutions_1_conc., plan_Solutions_1_speed, plan_Solutions_1_ann. time",0.705,0.207,0.026,-1,-1,-1,-1,0.0196,0.0049,0.0031,-1,-1,-1,-1,0.00253,0.00137,0.00117,-1,-1,-1,-1,PTQ10-L8-BO,11,"(11, 1000)",20,2026-04-15_08-47-49_IndividualMaterials,4
PlanToSpectralParameters,PTQ10,L8-BO,0.00966,0.00981,0.829,0.655,0.829,0.744,0.0092,features_D_UV,plan_Solutions_1_speed,"plan_Solutions_1_conc., plan_Solutions_1_speed, plan_Solutions_1_ann. time",0.829,-1,-1,-1,-1,-1,-1,0.0143,-1,-1,-1,-1,-1,-1,0.0092,-1,-1,-1,-1,-1,-1,PTQ10-L8-BO,11,"(11, 1000)",20,2026-04-15_08-47-49_IndividualMaterials,4
PlanToSpectralParameters,PTQ10,L8-BO,0.00906,0.0084,0.926,0.896,0.958,0.944,0.00619,features_A_UV,"plan_Solutions_1_speed, plan_Solutions_1_conc., plan_Solutions_1_ann. time","plan_Solutions_1_conc., plan_Solutions_1_speed, plan_Solutions_1_ann. time",0.872,0.078,0.008,-1,-1,-1,-1,0.0071,0.0153,0,-1,-1,-1,-1,0.01194,0.00747,0.00619,-1,-1,-1,-1,PTQ10-L8-BO,11,"(11, 1000)",20,2026-04-15_08-47-49_IndividualMaterials,4
PlanToSpectralParameters,PTQ10,L8-BO,0.01714,0.01638,0.831,0.764,0.88,0.85,0.01356,features_Dtot_UV,"plan_Solutions_1_speed, plan_Solutions_1_conc.","plan_Solutions_1_conc., plan_Solutions_1_speed, plan_Solutions_1_ann. time",0.832,0.047,-1,-1,-1,-1,-1,0.01,0.0529,-1,-1,-1,-1,-1,0.01664,0.01356,-1,-1,-1,-1,-1,PTQ10-L8-BO,11,"(11, 1000)",20,2026-04-15_08-47-49_IndividualMaterials,4
PlanToSpectralParameters,PTQ10,L8-BO,0.0131,0.01113,0.935,0.897,0.958,0.951,0.00882,features_Atot_UV,"plan_Solutions_1_speed, plan_Solutions_1_conc., plan_Solutions_1_ann. time","plan_Solutions_1_conc., plan_Solutions_1_speed, plan_Solutions_1_ann. time",0.87,0.075,0.013,-1,-1,-1,-1,0.0112,0.0222,0,-1,-1,-1,-1,0.01801,0.01135,0.00882,-1,-1,-1,-1,PTQ10-L8-BO,11,"(11, 1000)",20,2026-04-15_08-47-49_IndividualMaterials,4
PlanToSpectralParameters,PTQ10,L8-BO,0.03078,0.03216,0.89,0.809,0.91,0.894,0.02595,features_atot_UV,"plan_Solutions_1_speed, plan_Solutions_1_conc.","plan_Solutions_1_conc., plan_Solutions_1_speed, plan_Solutions_1_ann. time",0.864,0.046,-1,-1,-1,-1,-1,0.011,0.0318,-1,-1,-1,-1,-1,0.03637,0.02595,-1,-1,-1,-1,-1,PTQ10-L8-BO,11,"(11, 1000)",20,2026-04-15_08-47-49_IndividualMaterials,4
PlanToSpectralParameters,PTQ10,L8-BO,0.00749,0.00773,0.518,-0.06,0.523,0.288,0.00778,features_XD_UV,plan_Solutions_1_speed,"plan_Solutions_1_conc., plan_Solutions_1_speed, plan_Solutions_1_ann. time",0.523,-1,-1,-1,-1,-1,-1,0.0303,-1,-1,-1,-1,-1,-1,0.00778,-1,-1,-1,-1,-1,-1,PTQ10-L8-BO,11,"(11, 1000)",20,2026-04-15_08-47-49_IndividualMaterials,4
PlanToSpectralParameters,PTQ10,L8-BO,0.00503,0.00479,0.782,0.714,0.779,0.756,0.00456,features_XA_UV,"plan_Solutions_1_speed, plan_Solutions_1_ann. time","plan_Solutions_1_conc., plan_Solutions_1_speed, plan_Solutions_1_ann. time",0.788,-0.009,-1,-1,-1,-1,-1,0.0181,0.0064,-1,-1,-1,-1,-1,0.00479,0.00456,-1,-1,-1,-1,-1,PTQ10-L8-BO,11,"(11, 1000)",20,2026-04-15_08-47-49_IndividualMaterials,4
BestFeatureToIV,PTQ10,L8-BO,0.29431,0.33162,0.925,0.9,0.922,0.91,0.30336,JSC_IV,"features_D.1a.c_UV, features_A_UV",features_,0.885,0.036,-1,-1,-1,-1,-1,0.007,0.0089,-1,-1,-1,-1,-1,0.36283,0.30336,-1,-1,-1,-1,-1,PTQ10-L8-BO,11,"(11, 1000)",20,2026-04-15_08-47-49_IndividualMaterials,4
BestFeatureToIV,PTQ10,L8-BO,0.94748,1.02677,0.962,0.774,0.964,0.97,0.78891,FF_IV,"features_D.1a.c_UV, features_A_UV, features_D.1.c_UV, features_D.1a.w_UV, features_Atot_UV",features_,0.438,0.288,0.198,0.042,-0.002,-1,-1,0.0385,0.1162,0.0029,0,0,-1,-1,3.65631,2.74049,1.38614,0.98017,0.78891,-1,-1,PTQ10-L8-BO,11,"(11, 1000)",20,2026-04-15_08-47-49_IndividualMaterials,4
BestFeatureToIV,PTQ10,L8-BO,0.0074,0.00752,0.886,0.905,0.883,0.928,0.00677,VOC_IV,"features_D.1a.w_UV, features_D.1.c_UV, features_Atot_UV",features_,0.881,0.008,-0.006,-1,-1,-1,-1,0.0065,0.0081,0.0003,-1,-1,-1,-1,0.00715,0.00736,0.00677,-1,-1,-1,-1,PTQ10-L8-BO,11,"(11, 1000)",20,2026-04-15_08-47-49_IndividualMaterials,4
BestFeatureToIV,PTQ10,L8-BO,0.60894,0.64954,0.858,0.847,0.971,0.981,0.2452,PCE_IV,"features_D.1.c_UV, features_D.1a.w_UV, features_D.1a.c_UV, features_atot_UV",features_,0.595,0.154,0.169,0.054,-1,-1,-1,0.0292,0.0229,0.0118,0.0003,-1,-1,-1,1.02344,0.83774,0.4734,0.2452,-1,-1,-1,PTQ10-L8-BO,11,"(11, 1000)",20,2026-04-15_08-47-49_IndividualMaterials,4
PlanToIV,PTQ10,BTP-4F-12 (Y12),0.20823,0.20608,0.624,0.169,0.881,0.865,0.11779,PCE_IV,"plan_Solutions_1_ann. time, plan_Solutions_1_speed, plan_Solutions_1_conc.","plan_Solutions_1_conc., plan_Solutions_1_speed, plan_Solutions_1_ann. time",0.289,0.564,0.028,-1,-1,-1,-1,0.201,0.0052,0.0215,-1,-1,-1,-1,0.2984,0.13838,0.11779,-1,-1,-1,-1,PTQ10-BTP-4F-12 (Y12),11,"(11, 1000)",20,2026-04-15_08-47-49_IndividualMaterials,4
PlanToIV,PTQ10,BTP-4F-12 (Y12),0.3581,0.3793,0.898,0.83,0.923,0.939,0.33087,FF_IV,"plan_Solutions_1_ann. time, plan_Solutions_1_conc., plan_Solutions_1_speed","plan_Solutions_1_conc., plan_Solutions_1_speed, plan_Solutions_1_ann. time",0.819,0.106,-0.002,-1,-1,-1,-1,0.0153,0.0014,0.0142,-1,-1,-1,-1,0.47408,0.2763,0.33087,-1,-1,-1,-1,PTQ10-BTP-4F-12 (Y12),11,"(11, 1000)",20,2026-04-15_08-47-49_IndividualMaterials,4
PlanToIV,PTQ10,BTP-4F-12 (Y12),0.45706,0.43496,0.571,0.442,0.555,0.398,0.4154,JSC_IV,plan_Solutions_1_ann. time,"plan_Solutions_1_conc., plan_Solutions_1_speed, plan_Solutions_1_ann. time",0.555,-1,-1,-1,-1,-1,-1,0.0167,-1,-1,-1,-1,-1,-1,0.4154,-1,-1,-1,-1,-1,-1,PTQ10-BTP-4F-12 (Y12),11,"(11, 1000)",20,2026-04-15_08-47-49_IndividualMaterials,4
PlanToIV,PTQ10,BTP-4F-12 (Y12),0.00217,0.00187,0.979,0.973,0.981,0.958,0.00211,VOC_IV,"plan_Solutions_1_ann. time, plan_Solutions_1_speed, plan_Solutions_1_conc.","plan_Solutions_1_conc., plan_Solutions_1_speed, plan_Solutions_1_ann. time",0.893,0.003,0.085,-1,-1,-1,-1,0.0047,0.0058,0.0005,-1,-1,-1,-1,0.00474,0.00465,0.00211,-1,-1,-1,-1,PTQ10-BTP-4F-12 (Y12),11,"(11, 1000)",20,2026-04-15_08-47-49_IndividualMaterials,4
PlanToSpectralParameters,PTQ10,BTP-4F-12 (Y12),0.00086,0.00086,0.193,-7.801,0.263,0.169,0.00089,features_D.1.c_UV,plan_Solutions_1_ann. time,"plan_Solutions_1_conc., plan_Solutions_1_speed, plan_Solutions_1_ann. time",0.263,-1,-1,-1,-1,-1,-1,0.0188,-1,-1,-1,-1,-1,-1,0.00089,-1,-1,-1,-1,-1,-1,PTQ10-BTP-4F-12 (Y12),11,"(11, 1000)",20,2026-04-15_08-47-49_IndividualMaterials,4
